IE_XML_ID;IE_NAME;IP_PROP455;IP_PROP456;IP_PROP457
47844;Квартира на Тверской ;28;13.01.2017;Интерьер
47847;"ТВ-проект. &quot;Фазенда&quot;. ";29;13.01.2017;Интерьер
47850;"Спальня в частном доме, &lt;br&gt;Алма-Аты, Казахстан ";30;13.01.2017;Интерьер
47855;"Фасад бизнес-центра &quot;Цветной бульвар&quot;, Москва ";81;01.03.2017;Фасад
47869;Частный дом, Московская область ;82;01.03.2017;Фасад
47874;"Административный комплекс &quot;Дубровицы&quot; ";83;01.03.2017;Фасад
47885;Жилой дом, Тула ;84;01.03.2017;Фасад
47891;Частный дом, Московская область ;85;01.03.2017;Фасад
47899;Коттеджный посёлок Европа ;86;01.03.2017;Фасад
47906;"Здание администрации Парка &quot;Сокольники&quot; ";87;01.03.2017;Фасад
47921;"ТВ-проект. &quot;Школа ремонта&quot;. Каприз в тренде ";32;02.07.2017;Интерьер
47929;"ТВ-проект. &quot;Школа ремонта&quot;. Море на четверых ";33;04.07.2017;Интерьер
47934;"ТВ-проект. &quot;Школа ремонта&quot;. Мото Фьюжн ";34;07.07.2017;Интерьер
47940;"ТВ-проект. &quot;Фазенда&quot;. Спальня в икате ";35;23.07.2017;Интерьер
47947;Смирнитский ;36;24.07.2017;Интерьер
47952;"ТВ проект. &quot;Квартирный вопрос&quot;. Шабельникова ";38;25.07.2017;Интерьер
47955;"ТВ-проект. &quot;Фазенда&quot;. Омар Хайям ";39;29.07.2017;Интерьер
47960;"ТВ-проект. &quot;Фазенда&quot;. &lt;br&gt;Прованс в дачной гостиной ";40;05.08.2017;Интерьер
47963;"ТВ-проект. &quot;Школа ремонта&quot;. Родиться в тропиках ";43;11.02.2018;Интерьер
47968;"ТВ-проект. &quot;Фазенда&quot;. &lt;br&gt;Солнечная спальня ";44;11.02.2018;Интерьер
47974;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Гламурная сказка ";45;11.02.2018;Интерьер
47982;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Комиксы в бетоне ";46;11.02.2018;Интерьер
47988;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Клубная классика ";47;12.02.2018;Интерьер
47995;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Золотистый портвейн на берегу озера ";48;12.02.2018;Интерьер
47998;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Позволительная роскошь ";49;12.02.2018;Интерьер
48003;"ТВ-проект. &quot;Школа ремонта&quot;. &lt;br&gt;Сияние розового кварца ";50;12.02.2018;Интерьер
48006;"ТВ-проект. &quot;Дорогая переДача&quot;. &lt;br&gt;Шале ";51;12.02.2018;Интерьер
48010;"ТВ-проект. &quot;Квартирный вопрос&quot;. Спальня &lt;br&gt;в тисовой роще ";52;12.02.2018;Интерьер
58877;ТВ-проект. «Идеальный ремонт» для Нины Корниенко ;53;22.01.2019;Интерьер
58886;ТВ-проект. «Дачный ответ». Отзеркаленная гостиная ;54;23.01.2019;Интерьер
58889;ТВ-проект. «Идеальный ремонт» для Нелли Пшенной ;55;24.01.2019;Интерьер
58911;ТВ-проект. «Идеальный ремонт» для Марии Шукшиной ;56;25.01.2019;Интерьер
64182;ТВ-проект. «Идеальный ремонт» для Ольги Зарубиной ;57;17.04.2019;Интерьер
64195;ТВ-проект. «Квартирный вопрос». Небо над Берлином ;58;17.04.2019;Интерьер
64656;ТВ-проект. «Идеальный ремонт» для Владимира Конкина ;59;24.04.2019;Интерьер
64669;ТВ-проект. «Идеальный ремонт» для Азы Лихитченко ;60;24.04.2019;Интерьер
64686;ТВ-проект. «Идеальный ремонт» для Юрия Чернова ;61;24.04.2019;Интерьер
70373;ТВ-проект. «Идеальный ремонт» для Ольги Машной ;62;08.07.2019;Интерьер
70409;ТВ-проект. «Идеальный ремонт» для Юрия Смирнова ;63;10.07.2019;Интерьер
70417;ТВ-проект. «Идеальный ремонт» для Сергея Степанченко ;64;15.07.2019;Интерьер
70427;ТВ-проект. «Идеальный ремонт» для Анны Фроловцевой ;65;24.07.2019;Интерьер
75521;ТВ-проект. «Квартирный вопрос». Антракт на кухне ;66;30.09.2019;Интерьер
79740;ТВ-проект. «Квартирный вопрос». Ветер перемен ;67;28.11.2019;Интерьер
118126;ТВ-проект. «На дачу!» с Барбье для Зинаиды Кириенко ;68;14.01.2020;Интерьер
118145;ТВ-проект. «Спальня Париж» ;69;17.02.2020;Интерьер
118146;ТВ-проект. «Гостиная Традиции» ;70;10.03.2020;Интерьер
122970;ТВ-проект. «Малахитовая шкатулка» ;71;06.04.2020;Интерьер
122997;ТВ-проект. «Фазенда Лайф». Мрамор ;72;11.05.2020;Интерьер
123026;ТВ-проект. «Фазенда Лайф». Крылья радости ;73;08.06.2020;Интерьер
123054;ТВ-проект. «Фазенда Лайф». Старый замок ;74;06.07.2020;Интерьер
125953;ТВ-проект. «Фазенда Лайф». Дюк Ришелье ;76;07.09.2020;Интерьер
125954;ТВ-проект. «Фазенда Лайф». Кот в лучах ;75;04.08.2020;Интерьер
125968;ТВ-проект. «Фазенда Лайф». Лазурь ;77;06.12.2020;Интерьер
125984;ТВ-проект. «Фазенда Лайф». Принцесса ;78;03.02.2021;Интерьер
126157;ТВ-проект. «Фазенда Лайф». Песок и камень ;79;09.03.2021;Интерьер
126165;ТВ-проект. «Фазенда Лайф». Перевал ;80;12.04.2021;Интерьер
126177;ТВ-проект. «Дачный ответ». Леденцовая игровая ;100;02.05.2021;Интерьер
129821;"ТВ-проект. «На Дачу! С Наташей Барбье». Наталья&nbsp;Селезнёва ";101;04.06.2021;Интерьер
129837;ТВ-проект. «Фазенда Лайф». Ботаника ;102;05.07.2021;Интерьер
130544;ТВ-проект. «Большая переделка» для семьи Орешкиных ;103;12.08.2021;Интерьер
